City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
365,Bandarbeyla,SO,72.27,few clouds,9.4942,50.8122,JABIR HOTEL
366,Garowe,SO,62.1,clear sky,8.4054,48.4845,Curubo Hotel
367,Faya,SA,55.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
368,Saldanha,ZA,65.23,broken clouds,-33.0117,17.9442,Blue Bay Lodge
372,Jambi,ID,73.89,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
374,Pringsewu,ID,73.8,overcast clouds,-5.3582,104.9744,Urban Style by Front One
376,Pisco,PE,71.6,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
377,Kisangani,CD,71.67,scattered clouds,0.5167,25.2,Grand Ramela Hotel
379,Cascais,PT,59.0,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
386,Bam,IR,50.05,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
387,Half Moon Bay,US,63.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
392,Kon Tum,VN,60.6,broken clouds,14.35,108.0,Hoa đà spa- homestay
395,Sibolga,ID,74.19,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
396,Japura,ID,73.49,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
397,Comodoro Rivadavia,AR,71.6,light rain,-45.8667,-67.5,Austral Hotel
400,Kaura Namoda,NG,70.2,clear sky,12.5898,6.5779,Moonlight Hotel
402,North Bend,US,51.8,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
403,Port Augusta,AU,69.8,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
405,Asyut,EG,51.8,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
407,Odweyne,SO,64.6,clear sky,9.4092,45.06399999999999,Eng Hiirey House
408,Sanary-Sur-Mer,FR,54.0,scattered clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
410,San Luis,AR,57.63,overcast clouds,-33.295,-66.3356,Huarpes Hotel
412,Kabare,CD,61.97,light rain,-2.4683,28.8242,Hôtel Panorama
414,Pecos,US,62.6,clear sky,31.4229,-103.4932,Knights Inn Pecos
415,Mizan Teferi,ET,65.97,clear sky,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
418,Rajanpur,PK,54.27,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
425,Bernalillo,US,51.8,scattered clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
427,Jacksonville,US,73.4,light rain,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
431,Isla Vista,US,66.0,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
435,Riyadh,SA,57.2,clear sky,24.6877,46.7219,InterContinental Riyadh
449,Tshikapa,CD,71.42,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
451,Dargaville,NZ,72.86,clear sky,-35.9333,173.8833,Parkview Motel
458,Lindsay,US,63.0,clear sky,36.203,-119.0882,Lindsay Inn
460,Key West,US,73.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
469,Mercedes,AR,64.99,moderate rain,-34.6515,-59.4307,Posada del Inti Centro
470,Payyannur,IN,74.41,few clouds,12.1,75.2,Kavvayi Beach House
473,Rantepao,ID,72.01,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
480,Kongoussi,BF,74.68,overcast clouds,13.3258,-1.5347,Hôtel La Sagesse
482,Canyon,US,53.01,clear sky,34.9803,-101.9188,Holiday Inn Express & Suites Canyon
483,Kalemie,CD,70.12,light rain,-5.9475,29.1947,Mahobilali
487,Port Lincoln,AU,64.76,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
492,Eureka,US,55.99,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
494,Cervo,ES,57.99,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
498,Neyveli,IN,68.49,scattered clouds,11.536,79.4824,Babusalam Building
499,Bouar,CF,69.51,few clouds,5.934,15.595999999999998,Motel de l'UNITE
501,Tam Ky,VN,66.2,mist,15.5667,108.4833,Nhà Nghỉ Phương Hòa
506,Jalu,LY,61.29,clear sky,29.0331,21.5482,صاحبة الفخامة
510,Elk City,US,51.8,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
511,Jatibonico,CU,71.22,scattered clouds,21.9419,-79.17,"Hostel ""Los Tomasos"""
512,Kotdwara,IN,51.46,clear sky,29.75,78.5333,hotel gaurav plaza
515,Sao Filipe,CV,73.18,clear sky,14.8961,-24.4956,Tortuga B&B
517,Plouzane,FR,51.8,overcast clouds,48.3833,-4.6167,Lymina
521,Galt,US,64.0,clear sky,38.2546,-121.3,Best Western Galt Inn
522,Hewitt,US,60.8,clear sky,31.4624,-97.1958,Ramada by Wyndham South Waco
524,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
526,Amravati,IN,59.07,clear sky,20.9333,77.75,Hotel Indrapuri
528,Buraydah,SA,55.4,clear sky,26.326,43.975,Mövenpick Hotel Qassim
531,Wad Rawah,SD,67.82,clear sky,15.1603,33.1397,ود الترابي
533,Ginir,ET,54.23,clear sky,7.1333,40.7,Sura Dare Village
538,Pascagoula,US,73.4,clear sky,30.3658,-88.5561,Regency Inn
543,Buin,CL,73.4,broken clouds,-33.7333,-70.75,Paihuen
545,Mkushi,ZM,65.12,moderate rain,-13.6202,29.3939,HARVEST Inn Mkushi
547,Chadiza,ZM,67.21,overcast clouds,-14.0678,32.4392,Sankhani Lodge
555,Los Llanos De Aridane,ES,62.6,clear sky,28.6585,-17.9182,Valle Aridane
556,Arua,UG,70.48,broken clouds,3.0201,30.9111,Golden Courts Hotel
564,Mongu,ZM,67.19,light rain,-15.2484,23.1274,Country Lodge Mongu
565,Metro,ID,74.34,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
566,Concarneau,FR,51.8,light rain,47.875,-3.9225,Hôtel de L' Océan
