City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
59,Thouars,46.976,-0.2151,51.01,1,100,1.99,FR,overcast clouds,2021-01-31 23:53:58
60,Talara,-4.5772,-81.2719,75.6,74,86,14.76,PE,overcast clouds,2021-01-31 23:53:58
61,Cape Town,-33.9258,18.4232,66.0,77,20,18.41,ZA,few clouds,2021-01-31 23:43:59
62,Orange Cove,36.6244,-119.3137,63.0,42,1,4.61,US,clear sky,2021-01-31 23:53:58
63,Ambon,-3.6954,128.1814,86.0,70,40,3.44,ID,scattered clouds,2021-01-31 23:53:58
64,Caldwell,43.6629,-116.6874,53.6,35,20,21.85,US,few clouds,2021-01-31 23:53:58
65,Pontianak,-0.0333,109.3333,75.2,94,40,1.81,ID,scattered clouds,2021-01-31 23:52:04
66,Esperance,-33.8667,121.9,62.6,82,26,8.05,AU,scattered clouds,2021-01-31 23:44:47
67,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.76,94,100,0.72,BR,overcast clouds,2021-01-31 23:49:48
68,Filingue,14.3521,3.3168,70.2,19,77,9.57,NE,broken clouds,2021-01-31 23:53:59
69,Pilar,-9.5972,-35.9567,75.2,94,0,4.61,BR,clear sky,2021-01-31 23:53:59
70,Victoria,22.2855,114.1577,64.0,86,1,1.99,HK,clear sky,2021-01-31 23:49:35
71,Oxelosund,58.6706,17.1015,10.4,92,0,5.75,SE,clear sky,2021-01-31 23:53:59
72,Atambua,-9.1061,124.8925,74.07,92,100,3.96,ID,overcast clouds,2021-01-31 23:44:31
73,Axim,4.8699,-2.2405,79.16,88,27,9.1,GH,scattered clouds,2021-01-31 23:43:46
74,Kununurra,-15.7667,128.7333,82.4,89,40,1.88,AU,scattered clouds,2021-01-31 23:53:59
75,Chapais,49.7834,-74.8492,-4.0,77,1,2.3,CA,clear sky,2021-01-31 23:54:00
76,Port Alfred,-33.5906,26.891,71.01,82,9,7.0,ZA,light rain,2021-01-31 23:43:22
77,Coihaique,-45.5752,-72.0662,75.2,33,0,6.91,CL,clear sky,2021-01-31 23:44:29
78,Soure,-0.7167,-48.5233,79.93,84,55,11.59,BR,broken clouds,2021-01-31 23:54:00
79,Caravelas,-17.7125,-39.2481,76.08,85,77,6.26,BR,broken clouds,2021-01-31 23:44:28
80,Hamilton,39.1834,-84.5333,37.4,93,90,5.75,US,light rain,2021-01-31 23:43:01
81,Brechin,56.7299,-2.6573,33.8,93,40,6.91,GB,light rain,2021-01-31 23:54:00
82,Majene,-3.5403,118.9707,80.04,68,100,3.58,ID,overcast clouds,2021-01-31 23:44:26
83,Mount Pleasant,32.7941,-79.8626,60.01,100,94,13.8,US,moderate rain,2021-01-31 23:54:01
84,Fairbanks,64.8378,-147.7164,-2.2,84,90,1.39,US,overcast clouds,2021-01-31 23:44:17
85,Constitucion,-35.3333,-72.4167,58.95,85,9,10.02,CL,clear sky,2021-01-31 23:40:56
86,Atuona,-9.8,-139.0333,78.89,74,46,16.96,PF,scattered clouds,2021-01-31 23:49:57
87,Bukama,-9.2,25.85,70.05,94,100,2.15,CD,overcast clouds,2021-01-31 23:54:01
88,Bacolod,10.6667,122.95,78.6,78,88,15.55,PH,overcast clouds,2021-01-31 23:51:41
89,Mahebourg,-20.4081,57.7,80.6,78,75,13.8,MU,broken clouds,2021-01-31 23:44:16
90,Inta,66.0317,60.1659,16.16,94,99,10.94,RU,overcast clouds,2021-01-31 23:54:02
91,Lebu,-37.6167,-73.65,57.4,85,2,12.73,CL,clear sky,2021-01-31 23:54:02
92,Muroto,33.2833,134.15,44.6,76,75,9.22,JP,broken clouds,2021-01-31 23:54:02
93,Talnakh,69.4865,88.3972,-18.74,77,94,9.8,RU,overcast clouds,2021-01-31 23:44:18
94,Tiksi,71.6872,128.8694,-27.27,86,100,6.4,RU,overcast clouds,2021-01-31 23:44:44
95,Sivas,39.7916,37.0019,24.8,93,20,14.97,TR,few clouds,2021-01-31 23:52:37
96,Chkalovskoye,44.8392,133.0436,10.54,96,100,5.66,RU,light snow,2021-01-31 23:54:02
97,Bathsheba,13.2167,-59.5167,78.8,69,75,19.57,BB,broken clouds,2021-01-31 23:54:02
98,Kutum,14.2,24.6667,55.72,34,0,3.27,SD,clear sky,2021-01-31 23:49:10
99,Ahipara,-35.1667,173.1667,71.98,51,0,6.62,NZ,clear sky,2021-01-31 23:54:03
100,Tateyama,34.9833,139.8667,45.0,40,88,1.99,JP,overcast clouds,2021-01-31 23:54:03
101,Lesnoy,57.6198,63.0784,12.13,96,25,7.23,RU,scattered clouds,2021-01-31 23:54:03
102,Port Elizabeth,-33.918,25.5701,69.8,78,40,26.46,ZA,light rain,2021-01-31 23:54:03
103,Ottawa,45.4112,-75.6981,5.0,66,20,5.75,CA,few clouds,2021-01-31 23:53:16
104,Namibe,-15.1961,12.1522,73.47,72,96,5.39,AO,overcast clouds,2021-01-31 23:54:03
105,Lorengau,-2.0226,147.2712,83.55,81,98,11.12,PG,overcast clouds,2021-01-31 23:44:15
106,Tlaltenango,19.1667,-98.3333,75.2,15,1,13.8,MX,clear sky,2021-01-31 23:54:04
107,Thyboron,56.6985,8.2124,34.0,70,99,16.42,DK,overcast clouds,2021-01-31 23:54:04
108,Siddapur,14.3333,74.8833,66.42,51,86,6.26,IN,overcast clouds,2021-01-31 23:54:04
109,Guerrero Negro,27.9769,-114.0611,68.5,34,91,9.01,MX,overcast clouds,2021-01-31 23:50:01
110,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,75,3.51,CA,broken clouds,2021-01-31 23:44:10
111,Bambous Virieux,-20.3428,57.7575,80.6,78,75,13.8,MU,light rain,2021-01-31 23:44:26
112,Pangnirtung,66.1451,-65.7125,-4.61,87,100,3.38,CA,overcast clouds,2021-01-31 23:54:04
113,Inuvik,68.3499,-133.7218,-20.2,69,100,4.61,CA,light snow,2021-01-31 23:50:20
114,Atlantic City,39.3643,-74.4229,34.0,93,90,14.97,US,snow,2021-01-31 23:49:49
115,Sao Miguel Do Tapuio,-5.5036,-41.3233,77.0,65,100,3.15,BR,overcast clouds,2021-01-31 23:54:05
116,Narsimhapur,22.95,79.2,48.13,46,0,3.22,IN,clear sky,2021-01-31 23:54:05
117,Umm Bab,25.2142,50.8072,55.99,71,0,3.0,QA,clear sky,2021-01-31 23:54:05
118,Mackay,-21.15,149.2,80.6,78,40,12.66,AU,scattered clouds,2021-01-31 23:54:05
119,Porto Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,scattered clouds,2021-01-31 23:51:06
120,Maputo,-25.9653,32.5892,78.37,83,100,8.68,MZ,overcast clouds,2021-01-31 23:54:05
121,Bethel,41.3712,-73.414,21.99,53,90,4.61,US,overcast clouds,2021-01-31 23:43:27
122,Udachnyy,66.4167,112.4,-41.28,79,98,9.31,RU,overcast clouds,2021-01-31 23:44:21
123,Neka,36.6508,53.299,44.6,70,0,6.91,IR,clear sky,2021-01-31 23:54:06
